,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total
0,Candace Kane's Candy Factory,DS,2008.0,Action,Destineer,40.0,0.0,0.0,0.0,40.0
1,The Munchables,Wii,2009.0,Action,Namco Bandai Games,170.0,0.0,0.0,10.0,180.0
2,Otome wa Oanesama Boku ni Koi Shiteru Portable,PSP,2010.0,Adventure,Alchemist,0.0,0.0,20.0,0.0,20.0
3,Deal or No Deal: Special Edition,DS,2010.0,Misc,Zoo Games,40.0,0.0,0.0,0.0,40.0
4,Ben 10 Ultimate Alien: Cosmic Destruction,PS3,2010.0,Platform,D3Publisher,120.0,90.0,0.0,40.0,250.0
5,Power Pro Kun Pocket 8,DS,2005.0,Sports,Konami Digital Entertainment,0.0,0.0,140.0,0.0,140.0
6,JASF: Jane's Advanced Strike Fighters,PC,2011.0,Simulation,Deep Silver,20.0,10.0,0.0,0.0,30.0
7,Samurai Warriors: State of War,PSP,2005.0,Action,Tecmo Koei,70.0,0.0,110.0,10.0,190.0
8,Imabikisou,PS3,2007.0,Adventure,Sega,0.0,0.0,40.0,0.0,40.0
9,The Penguins of Madagascar: Dr. Blowhole Returns - Again!,PS3,2011.0,Action,THQ,40.0,30.0,0.0,10.0,80.0
10,Ford Racing,PS,2001.0,Racing,Empire Interactive,480.0,330.0,0.0,60.0,870.0
11,Harvest Moon: More Friends of Mineral Town,GBA,2003.0,Simulation,Ubisoft,140.0,50.0,0.0,0.0,190.0
12,Mount & Blade,PC,2008.0,Role-Playing,Paradox Interactive,0.0,20.0,0.0,0.0,20.0
13,The Professor's Brain Trainer: Logic,DS,2005.0,Puzzle,505 Games,20.0,0.0,0.0,0.0,20.0
14,Zoids Dash,DS,2006.0,Role-Playing,Tomy Corporation,0.0,0.0,20.0,0.0,20.0
15,Mini Ninjas,PS3,2009.0,Action,Eidos Interactive,140.0,160.0,0.0,60.0,360.0
16,Rise of Nations,PC,2003.0,Strategy,Microsoft Game Studios,10.0,20.0,0.0,10.0,40.0
17,Hajime no Ippo: The Fighting! (2014),PS3,2014.0,Sports,Namco Bandai Games,0.0,0.0,30.0,0.0,30.0
18,Grand Kingdom,PS4,2015.0,Role-Playing,Nippon Ichi Software,20.0,0.0,30.0,0.0,50.0
19,Tropico Reloaded,PC,2009.0,Strategy,Kalypso Media,0.0,20.0,0.0,0.0,20.0
20,Ty the Tasmanian Tiger,PS2,2002.0,Platform,Electronic Arts,570.0,450.0,0.0,150.0,1170.0
21,Ghost in the Shell,PS,1997.0,Simulation,Sony Computer Entertainment,60.0,40.0,0.0,10.0,110.0
22,Cabela's Dangerous Hunts 2,XB,2005.0,Sports,Activision,80.0,20.0,0.0,0.0,100.0
23,Don Bradman Cricket 14,X360,2014.0,Sports,Tru Blu Entertainment,0.0,10.0,0.0,0.0,10.0
24,Injustice: Gods Among Us,PS3,2013.0,Fighting,Warner Bros. Interactive Entertainment,480.0,530.0,10.0,230.0,1250.0
25,Dr. Muto,GC,2002.0,Platform,Midway Games,20.0,10.0,0.0,0.0,30.0
26,Starwinder: The Ultimate Space Race,PS,1996.0,Racing,Mindscape,30.0,20.0,0.0,0.0,50.0
27,World of Tanks,PC,2011.0,Shooter,Wargaming.net,0.0,230.0,0.0,60.0,290.0
28,Famicom Mini: Makaimura,GBA,2004.0,Platform,Capcom,0.0,0.0,80.0,0.0,80.0
29,McGrath Vs. Pastrana Freestyle Motocross,PS,2000.0,Racing,Acclaim Entertainment,140.0,100.0,0.0,20.0,260.0
30,Kids Learn Music A+ Edition,DS,2011.0,Misc,Unknown,50.0,0.0,0.0,0.0,50.0
32,Project Sylpheed: Arc of Deception,X360,2006.0,Shooter,Microsoft Game Studios,120.0,10.0,20.0,10.0,160.0
33,Mario & Luigi: Paper Jam & Mario Kart 7 Double Pack,3DS,2015.0,Misc,Nintendo,0.0,0.0,10.0,0.0,10.0
34,Mega Man Anniversary Collection,PS2,2004.0,Platform,Capcom,290.0,220.0,0.0,80.0,590.0
35,G-Force,Wii,2009.0,Action,Disney Interactive Studios,190.0,200.0,0.0,50.0,440.0
36,Advance Wars: Dual Strike,DS,2005.0,Strategy,Nintendo,300.0,30.0,40.0,30.0,400.0
37,Beamrider,2600,1984.0,Racing,Activision,260.0,10.0,0.0,0.0,270.0
38,Ninja Reflex,Wii,2008.0,Action,Electronic Arts,110.0,10.0,0.0,10.0,130.0
39,FIFA World Cup Germany 2006,XB,2006.0,Sports,Electronic Arts,180.0,50.0,0.0,10.0,240.0
40,Vagrant Story,PS,2000.0,Role-Playing,Crave Entertainment,300.0,200.0,300.0,60.0,860.0
41,Knights of Honor,PC,2004.0,Strategy,Sunflowers,0.0,20.0,0.0,10.0,30.0
42,Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,2007.0,Adventure,Capcom,330.0,50.0,250.0,40.0,670.0
43,Shugo Chara! 3-tsu no Tamagoto Koisuru Joker,DS,2008.0,Action,Konami Digital Entertainment,0.0,0.0,50.0,0.0,50.0
44,Crysis 3,X360,2013.0,Shooter,Electronic Arts,510.0,330.0,10.0,80.0,930.0
45,Resident Evil: Revelations 2,PS3,2015.0,Action,Capcom,60.0,80.0,160.0,30.0,330.0
46,Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,SAT,1998.0,Sports,Sega,0.0,0.0,120.0,0.0,120.0
47,Sega Soccer Slam,PS2,2002.0,Sports,Sega,60.0,50.0,0.0,20.0,130.0
48,Hellboy: The Science of Evil,PS3,2008.0,Action,Konami Digital Entertainment,130.0,20.0,0.0,20.0,170.0
49,Dreamworks Madagascar Kartz,X360,2009.0,Racing,Activision,140.0,90.0,0.0,20.0,250.0
51,Chaotic: Shadow Warriors,Wii,2009.0,Action,Activision,180.0,0.0,0.0,10.0,190.0
52,Mega Man Xtreme 2,GB,2001.0,Platform,Capcom,0.0,0.0,70.0,0.0,70.0
53,IL-2 Sturmovik: Birds of Prey,PS3,2009.0,Simulation,505 Games,340.0,260.0,0.0,100.0,700.0
54,Rockin' Pretty,DS,2009.0,Misc,Arc System Works,50.0,0.0,0.0,0.0,50.0
55,SpongeBob's Boating Bash,Wii,2010.0,Misc,THQ,250.0,70.0,0.0,30.0,350.0
56,Sébastien Loeb Rally Evo,PS4,2016.0,Racing,Milestone S.r.l,0.0,40.0,0.0,10.0,50.0
57,Sekai no Hate Made Itte Q! Chinjuu Hunter Mono no Daibouken,DS,2010.0,Misc,Kamui,0.0,0.0,30.0,0.0,30.0
58,Tony Hawk: Shred,Wii,2010.0,Sports,Activision,410.0,110.0,0.0,40.0,560.0
59,Bomberman,NES,1985.0,Puzzle,Hudson Soft,180.0,0.0,850.0,0.0,1030.0
60,The Hustle: Detroit Streets,PS2,2006.0,Sports,Activision,20.0,20.0,0.0,10.0,50.0
61,Unreal Tournament III,X360,2008.0,Shooter,Midway Games,250.0,170.0,10.0,50.0,480.0
62,NieR,X360,2010.0,Role-Playing,Square Enix,130.0,100.0,40.0,20.0,290.0
63,Rango: The Video Game,Wii,2011.0,Action,Electronic Arts,80.0,40.0,0.0,10.0,130.0
64,SD Gundam Force,GBA,2004.0,Shooter,Namco Bandai Games,10.0,0.0,0.0,0.0,10.0
65,Virtua Fighter 3tb,DC,1998.0,Fighting,Sega,0.0,0.0,370.0,0.0,370.0
66,Kirby: Mass Attack,DS,2011.0,Platform,Nintendo,520.0,60.0,410.0,50.0,1040.0
67,Exhibition Volume 5,XB,2004.0,Misc,Microsoft Game Studios,40.0,10.0,0.0,0.0,50.0
68,Sherlock Holmes: Crimes & Punishments,PS4,2014.0,Adventure,Focus Home Interactive,80.0,140.0,0.0,50.0,270.0
69,NBA 2K11,PC,2010.0,Action,Take-Two Interactive,180.0,0.0,0.0,10.0,190.0
70,Command & Conquer,N64,1999.0,Strategy,Nintendo,220.0,50.0,0.0,0.0,270.0
71,Code Lyoko,DS,2007.0,Action,Game Factory,30.0,10.0,0.0,0.0,40.0
72,Payday 2,XOne,2015.0,Shooter,505 Games,80.0,70.0,0.0,10.0,160.0
73,Teenage Mutant Ninja Turtles,XB,2003.0,Action,Konami Digital Entertainment,220.0,60.0,0.0,10.0,290.0
74,Age of Empires III: Complete Collection,PC,2009.0,Strategy,Microsoft Game Studios,10.0,120.0,0.0,30.0,160.0
75,Deadliest Catch: Sea of Chaos,PS3,2010.0,Sports,Crave Entertainment,80.0,0.0,0.0,10.0,90.0
76,Wrecking Crew,NES,1985.0,Platform,Nintendo,0.0,0.0,510.0,0.0,510.0
77,Buzz Lightyear of Star Command,PS,2000.0,Platform,Activision,350.0,240.0,0.0,40.0,630.0
78,Sudokuro,DS,2007.0,Puzzle,Crave Entertainment,100.0,0.0,0.0,10.0,110.0
79,Yattaman Wii: BikkuriDokkiri Machine de Mou Race da Koron,Wii,2008.0,Racing,Takara Tomy,0.0,0.0,10.0,0.0,10.0
80,Dynasty Warriors Advance,GBA,2005.0,Action,Nintendo,80.0,30.0,0.0,0.0,110.0
81,Treasures of the Deep,PS,1997.0,Action,Namco Bandai Games,100.0,70.0,0.0,10.0,180.0
82,Mobile Suit Gundam: Perfect One Year War,PS,1997.0,Strategy,Namco Bandai Games,0.0,0.0,140.0,10.0,150.0
83,Billy Hatcher and the Giant Egg,GC,2003.0,Platform,Sega,190.0,50.0,0.0,10.0,250.0
84,Tom and Jerry in Fists of Furry,N64,2000.0,Fighting,Ubisoft,130.0,30.0,0.0,0.0,160.0
85,Resident Evil: Dead Aim,PS2,2003.0,Action,Capcom,170.0,130.0,0.0,40.0,340.0
86,Seiken Densetsu 3,SNES,1995.0,Role-Playing,SquareSoft,0.0,0.0,890.0,0.0,890.0
87,Spy vs Spy,XB,2005.0,Action,Global Star,80.0,20.0,0.0,0.0,100.0
88,Harry Potter and the Deathly Hallows - Part 1,PS3,2010.0,Action,Electronic Arts,130.0,210.0,0.0,80.0,420.0
89,Bugs Bunny: Lost in Time,PS,1999.0,Platform,Infogrames,220.0,150.0,0.0,30.0,400.0
90,Tom Clancy's Ghost Recon: Predator,PSP,2010.0,Shooter,Ubisoft,70.0,20.0,0.0,20.0,110.0
91,Death Jr.,PSP,2005.0,Platform,Konami Digital Entertainment,170.0,0.0,0.0,10.0,180.0
92,Disney Universe,Wii,2011.0,Action,Disney Interactive Studios,670.0,300.0,0.0,100.0,1070.0
93,Pac-Man and the Ghostly Adventures 2,PS3,2014.0,Adventure,Namco Bandai Games,50.0,40.0,0.0,20.0,110.0
94,Need for Speed Underground,PC,2003.0,Racing,Electronic Arts,0.0,40.0,0.0,10.0,50.0
